lucid_dream_freq,sleep_hours,screen_time_bed,meditation,alcohol_use,marijuana_use,caffeine_intake,physical_activity,diet_score,stress_level,dream_journal,dream_recall,chronotype,age,gender
nightly,7.7,91,no,weekly,never,483,85,7,10,no,1,intermediate,23,female
weekly,6.5,97,no,rarely,weekly,52,58,5,10,no,5,intermediate,22,female
none,6.8,65,no,weekly,never,150,26,10,8,yes,1,intermediate,22,male
weekly,6.5,31,no,never,rarely,143,48,7,2,yes,2,night owl,40,female
none,9.4,85,no,rarely,daily,56,76,9,9,no,4,night owl,26,male
none,7.2,50,no,rarely,weekly,38,32,1,1,no,5,early bird,52,female
weekly,5.9,152,no,rarely,never,108,97,7,8,yes,2,early bird,37,female
weekly,8.2,62,yes,never,weekly,180,104,6,4,yes,5,intermediate,59,female
none,5.7,124,no,never,rarely,41,98,10,4,yes,3,intermediate,52,female
weekly,7.5,149,no,never,weekly,185,0,9,5,no,1,intermediate,35,male
nightly,4.8,57,no,never,daily,422,20,1,8,yes,3,night owl,34,male
monthly,5.6,57,yes,rarely,never,397,111,4,5,no,2,night owl,41,male
none,7.4,85,yes,weekly,weekly,222,54,9,8,no,4,early bird,20,male
monthly,8.1,48,yes,rarely,never,121,5,4,10,yes,5,intermediate,49,male
weekly,7.4,179,no,weekly,daily,132,91,10,1,no,1,early bird,52,female
none,7.1,169,no,daily,daily,162,80,3,10,yes,5,night owl,55,male
none,6.8,69,no,rarely,never,214,68,9,9,no,2,intermediate,30,nonbinary
weekly,5.4,14,no,rarely,rarely,220,94,2,6,no,5,night owl,42,female
monthly,6.3,53,yes,rarely,rarely,234,4,4,3,no,1,early bird,26,male
monthly,6.6,100,no,rarely,never,330,101,6,8,no,2,night owl,21,female
weekly,8.5,7,yes,rarely,rarely,145,2,2,9,no,5,early bird,31,female
none,7.6,52,no,never,never,238,52,8,6,no,4,intermediate,54,female
none,5.1,59,no,rarely,rarely,75,22,8,7,no,2,night owl,51,female
monthly,7.6,107,yes,rarely,weekly,8,100,1,1,no,2,night owl,28,male
monthly,6.7,4,yes,rarely,never,73,52,3,5,no,4,early bird,58,other
monthly,6.4,102,no,rarely,weekly,441,36,10,5,no,3,early bird,20,female
weekly,7.9,5,yes,weekly,never,491,73,9,10,yes,1,night owl,45,female
none,8.4,108,no,rarely,weekly,400,73,5,4,no,3,night owl,46,male
none,8.3,115,no,rarely,never,252,82,6,6,yes,5,night owl,26,female
none,6.2,93,yes,rarely,weekly,229,16,4,7,yes,4,early bird,20,female
weekly,6.8,46,yes,weekly,never,6,84,10,9,yes,3,night owl,42,female
weekly,7.6,98,yes,rarely,never,173,77,2,1,no,2,night owl,51,male
monthly,8.4,54,yes,never,rarely,140,72,8,6,yes,5,night owl,29,male
monthly,6.6,167,no,never,rarely,167,109,6,7,no,5,early bird,59,male
nightly,7.0,51,no,weekly,never,169,0,5,3,no,3,night owl,26,female
nightly,5.9,143,yes,never,weekly,392,50,9,8,no,3,intermediate,32,female
weekly,5.8,12,no,rarely,never,433,44,1,5,no,4,early bird,57,female
weekly,8.2,113,yes,weekly,never,282,76,5,9,yes,1,early bird,42,male
none,8.8,123,no,rarely,weekly,121,3,6,5,no,3,night owl,22,female
none,7.1,105,no,weekly,rarely,193,61,5,9,no,3,night owl,28,male
weekly,8.4,157,no,weekly,never,4,64,6,10,yes,2,night owl,51,male
weekly,7.6,146,no,daily,rarely,28,112,6,4,no,5,night owl,41,female
nightly,6.4,144,yes,never,never,164,103,7,9,yes,1,intermediate,32,male
none,7.6,119,no,never,never,421,31,4,5,no,2,early bird,55,male
nightly,9.0,62,yes,weekly,rarely,338,33,8,10,no,4,night owl,25,male
none,7.2,18,yes,rarely,never,135,91,7,9,yes,4,intermediate,22,male
monthly,9.1,91,no,weekly,never,495,94,9,3,no,3,intermediate,43,female
weekly,4.1,57,yes,rarely,never,364,71,7,4,no,3,intermediate,35,male
weekly,8.2,89,yes,rarely,never,320,38,3,9,no,4,early bird,23,male
nightly,7.3,116,yes,weekly,weekly,341,25,3,10,yes,3,intermediate,54,female
weekly,6.8,61,yes,rarely,never,499,33,8,6,yes,1,intermediate,30,female
monthly,7.3,22,yes,rarely,never,144,53,5,2,no,3,early bird,45,female
none,4.8,126,yes,weekly,weekly,326,117,4,7,yes,5,early bird,22,male
none,6.9,136,no,rarely,never,216,2,8,2,no,3,early bird,30,female
nightly,7.6,139,no,never,daily,300,49,6,2,no,2,early bird,34,male
weekly,9.0,128,yes,daily,never,131,11,2,1,yes,1,intermediate,57,female
nightly,6.6,57,no,rarely,rarely,291,64,4,3,yes,2,night owl,49,male
weekly,6.2,121,no,rarely,weekly,69,53,4,6,no,2,early bird,46,female
monthly,6.6,0,no,rarely,never,251,107,6,8,no,5,intermediate,20,female
weekly,8.3,33,no,rarely,rarely,414,4,6,9,yes,1,night owl,57,nonbinary
monthly,7.6,95,no,never,never,274,93,1,7,no,1,night owl,51,female
none,6.6,125,yes,rarely,rarely,444,93,8,4,yes,1,early bird,57,female
nightly,7.8,117,yes,never,rarely,363,56,6,6,no,1,night owl,44,male
none,7.3,47,no,never,rarely,181,16,3,5,no,1,early bird,30,male
none,8.4,88,no,weekly,daily,166,111,9,8,no,5,night owl,50,female
none,6.4,116,no,rarely,never,90,46,2,1,no,3,early bird,23,male
weekly,6.8,128,yes,weekly,never,201,22,8,1,yes,2,intermediate,41,male
weekly,6.7,15,yes,daily,never,345,78,10,6,yes,1,night owl,36,female
none,5.4,68,no,rarely,daily,18,100,3,10,no,3,intermediate,33,female
monthly,7.6,21,no,never,never,38,84,5,2,no,3,early bird,57,female
weekly,7.5,92,no,rarely,never,125,13,6,5,yes,2,intermediate,45,male
monthly,7.2,75,yes,rarely,never,450,65,10,1,no,5,intermediate,50,male
monthly,6.9,153,no,rarely,daily,172,74,6,7,no,4,intermediate,58,male
monthly,5.5,143,no,rarely,rarely,140,50,4,1,no,4,intermediate,30,male
none,6.7,178,yes,never,never,241,102,3,4,yes,3,night owl,60,male
monthly,6.8,85,no,never,weekly,219,37,4,9,no,2,night owl,42,female
weekly,6.2,28,no,rarely,never,125,63,1,1,no,4,night owl,59,female
monthly,7.0,68,no,never,never,57,97,4,4,no,3,early bird,53,female
none,7.7,46,no,never,daily,147,37,1,6,no,5,night owl,44,female
weekly,9.5,93,yes,never,never,475,49,1,6,no,4,intermediate,55,male
monthly,7.4,143,no,never,never,455,97,10,8,no,3,night owl,24,male
none,7.5,175,no,weekly,never,316,81,6,1,no,3,night owl,22,female
weekly,7.1,84,no,rarely,weekly,382,29,5,7,no,1,early bird,60,male
none,4.9,38,no,daily,daily,360,78,4,1,yes,5,intermediate,48,other
nightly,7.2,99,yes,daily,never,422,90,3,7,yes,1,early bird,40,female
none,7.3,32,no,weekly,never,0,50,1,3,no,2,intermediate,59,female
nightly,10.0,100,yes,daily,daily,386,62,6,8,yes,1,intermediate,27,female
weekly,7.0,22,no,rarely,daily,460,97,2,3,yes,1,night owl,49,male
monthly,7.6,9,no,daily,weekly,347,51,8,1,no,4,night owl,60,male
weekly,7.2,68,no,rarely,rarely,189,120,10,8,no,3,intermediate,47,female
monthly,5.8,99,yes,rarely,rarely,190,37,5,3,no,5,night owl,56,female
none,8.6,33,yes,rarely,weekly,368,96,7,2,yes,1,early bird,48,male
monthly,8.1,179,yes,rarely,daily,408,87,10,1,no,5,early bird,35,female
monthly,8.1,137,yes,never,never,311,78,2,3,yes,1,early bird,53,female
nightly,6.1,146,no,daily,never,416,29,8,2,yes,2,night owl,19,male
monthly,8.9,95,no,daily,rarely,421,118,2,2,no,1,early bird,31,female
monthly,5.5,0,yes,never,never,116,105,4,6,no,4,night owl,30,nonbinary
monthly,7.9,68,no,never,daily,133,50,1,1,no,3,intermediate,46,female
none,9.8,3,yes,weekly,weekly,57,80,5,2,yes,2,night owl,29,female
monthly,6.0,15,no,never,daily,43,4,9,6,no,1,early bird,56,female
weekly,6.5,23,no,weekly,never,172,28,1,3,no,5,intermediate,19,female
monthly,7.3,79,no,daily,never,159,3,9,4,yes,2,early bird,49,male
monthly,6.6,1,yes,daily,never,172,9,8,1,yes,2,intermediate,30,nonbinary
none,5.3,127,no,never,rarely,316,55,6,8,no,1,night owl,44,other
monthly,7.3,159,no,never,rarely,302,16,7,7,no,2,early bird,58,female
weekly,5.9,83,no,daily,never,148,73,3,7,no,5,night owl,34,female
weekly,7.8,151,no,never,weekly,79,16,1,3,yes,2,night owl,57,male
monthly,6.1,139,yes,rarely,rarely,373,83,5,10,no,5,night owl,48,female
monthly,9.1,177,yes,never,rarely,212,87,2,10,yes,1,night owl,51,other
none,6.3,162,no,never,weekly,202,68,5,3,no,3,night owl,41,female
monthly,6.8,123,no,weekly,daily,251,33,8,2,yes,2,early bird,52,female
monthly,8.2,32,yes,rarely,weekly,228,5,9,1,no,3,night owl,23,female
weekly,5.7,160,no,never,never,163,52,2,7,no,5,early bird,36,other
monthly,7.5,178,yes,weekly,weekly,226,65,3,7,no,2,early bird,47,male
nightly,8.8,170,no,never,weekly,146,76,3,2,yes,4,early bird,24,male
monthly,5.3,100,yes,never,never,19,106,1,7,yes,3,night owl,27,male
weekly,7.4,11,yes,never,rarely,440,42,8,8,yes,2,night owl,58,female
none,7.5,66,no,never,daily,401,111,6,1,yes,3,intermediate,49,male
none,8.1,64,no,weekly,never,46,74,8,9,no,2,intermediate,51,female
monthly,5.7,160,yes,weekly,never,232,114,9,7,no,1,intermediate,45,female
nightly,5.6,167,no,never,never,304,110,5,3,yes,3,night owl,32,male
none,7.8,73,no,never,rarely,13,120,3,8,yes,4,early bird,47,female
monthly,7.6,42,yes,weekly,never,142,22,5,7,no,4,night owl,54,male
weekly,7.5,43,no,rarely,weekly,414,54,5,8,no,5,intermediate,46,female
nightly,7.6,28,no,rarely,never,0,79,5,6,no,2,night owl,39,female
monthly,6.4,140,no,never,rarely,372,94,3,9,no,3,early bird,21,male
none,7.5,11,no,rarely,rarely,53,74,10,5,no,5,early bird,37,female
monthly,7.6,94,yes,weekly,rarely,373,117,4,3,no,3,early bird,49,female
monthly,6.3,45,no,never,daily,258,15,9,3,no,2,intermediate,53,female
weekly,9.4,129,no,rarely,never,143,7,10,1,yes,4,night owl,21,male
monthly,7.8,34,yes,never,weekly,470,3,9,8,yes,1,early bird,44,male
monthly,5.8,80,yes,rarely,never,440,103,2,2,yes,4,night owl,34,male
none,8.0,89,no,weekly,rarely,458,3,8,3,yes,5,intermediate,29,male
weekly,6.0,7,no,never,never,11,55,8,8,yes,1,early bird,39,female
weekly,8.1,92,no,never,rarely,329,24,7,8,no,5,night owl,34,female
weekly,8.6,153,no,weekly,never,223,66,8,4,yes,2,night owl,27,male
nightly,6.2,89,yes,never,weekly,271,95,3,4,yes,1,early bird,18,other
weekly,8.4,161,no,rarely,rarely,455,66,6,5,no,5,intermediate,39,female
weekly,7.7,114,yes,weekly,never,357,26,1,6,yes,2,night owl,43,female
none,8.2,104,no,daily,never,459,92,7,5,no,4,early bird,35,other
nightly,9.5,134,no,rarely,never,407,31,1,7,no,2,early bird,31,male
monthly,6.9,57,yes,never,never,155,49,9,2,yes,3,early bird,46,other
monthly,6.3,113,yes,daily,rarely,372,60,1,7,no,2,intermediate,29,male
nightly,6.1,74,no,never,never,7,50,1,10,no,2,early bird,53,other
monthly,6.2,156,no,never,rarely,121,18,7,7,yes,3,early bird,52,female
weekly,7.1,119,no,rarely,rarely,347,20,2,1,no,5,intermediate,29,male
weekly,7.6,163,no,rarely,never,163,4,5,7,no,5,early bird,24,male
nightly,7.5,20,no,weekly,rarely,89,81,8,5,no,2,intermediate,46,other
none,8.2,163,no,rarely,weekly,135,91,8,3,no,3,night owl,28,female
monthly,7.2,137,no,rarely,never,185,41,3,3,no,3,night owl,50,female
nightly,8.9,100,yes,rarely,weekly,315,60,7,4,no,4,intermediate,23,male
nightly,6.9,151,yes,never,never,177,21,3,2,no,5,intermediate,32,male
none,10.0,176,yes,never,weekly,27,20,6,2,yes,1,intermediate,49,other
none,8.0,98,yes,rarely,weekly,219,69,6,1,no,5,early bird,28,male
weekly,6.2,35,yes,never,rarely,356,0,3,5,yes,5,intermediate,40,male
none,5.9,95,no,rarely,rarely,40,4,7,4,yes,4,early bird,43,female
none,7.8,151,yes,weekly,never,227,104,3,10,no,1,night owl,51,female
nightly,6.9,150,no,daily,weekly,191,11,8,2,yes,4,night owl,51,male
none,8.1,36,yes,daily,never,410,89,10,3,yes,1,night owl,46,female
none,7.8,11,no,daily,rarely,446,45,4,7,yes,2,early bird,21,female
none,7.1,112,yes,daily,rarely,144,33,1,7,no,1,early bird,34,female
none,6.2,12,no,rarely,rarely,200,48,4,4,no,4,night owl,52,male
monthly,5.4,22,no,weekly,rarely,416,77,7,5,yes,5,early bird,30,male
none,6.7,98,no,rarely,weekly,500,89,4,5,yes,1,intermediate,58,female
none,8.2,104,no,rarely,weekly,211,44,6,6,no,1,night owl,56,female
nightly,7.5,29,yes,never,never,460,26,9,9,yes,3,intermediate,32,female
nightly,5.7,16,yes,never,never,219,72,1,2,no,5,early bird,46,male
weekly,7.4,112,no,rarely,weekly,239,25,5,5,yes,2,early bird,46,female
weekly,7.7,61,no,rarely,rarely,412,120,7,3,no,4,early bird,28,other
none,6.1,83,no,weekly,rarely,396,46,1,4,yes,2,intermediate,49,female
monthly,7.4,111,yes,rarely,rarely,45,120,4,10,no,5,night owl,19,other
monthly,7.3,85,yes,rarely,never,34,85,6,6,no,1,night owl,31,male
nightly,5.8,140,yes,daily,daily,252,110,2,8,no,1,early bird,37,other
